trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.01, 'e': 0.08032193289024989}",25,17,12.328150597482907,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.08006407690254357}",20,0,12.908782499163044,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
157,False,"{'a': 0.01, 'e': 0.07980868844676221}",25,18,13.770291946608312,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.079555728417573}",25,0,15.350307459569269,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
159,False,"{'a': 0.01, 'e': 0.07930515857181442}",25,0,21.90876743753087,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
160,False,"{'a': 0.01, 'e': 0.07905694150420949}",25,7,29.68221215608984,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.07881104062391006}",20,16,6.855692152870795,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.07856742013183861}",30,12,28.2745197257931,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.07832604499879574}",20,12,13.425400297397116,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.07808688094430304}",35,18,30.661729906880055,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.0778498944161523}",20,8,21.19224023316382,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.07761505257063328}",20,13,12.315189792219499,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.07738232325341368}",25,4,35.017280456642226,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.07715167498104596}",25,0,19.58081959764307,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
169,False,"{'a': 0.01, 'e': 0.07692307692307693}",20,7,18.922984722477214,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.07669649888473704}",20,5,25.270103105046644,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.07647191129018725}",25,12,-23.90026842085144,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.01, 'e': 0.07624928516630233}",20,5,9.845359717593283,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.07602859212697055}",30,21,17.781455235538782,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.07580980435789034}",25,0,-3.1044357567472947,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
175,False,"{'a': 0.01, 'e': 0.07559289460184544}",20,8,19.18757414155268,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.07537783614444091}",25,13,21.17559954213953,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.07516460280028289}",25,6,29.217676452904094,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.07495316889958614}",25,11,21.191848480765845,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.07474350927519359}",25,9,25.128489461289004,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.07453559924999299}",20,16,7.456947762154913,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.07432941462471664}",20,10,17.676311923269015,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.01, 'e': 0.07412493166611012}",20,7,19.418605880963636,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
